,transit_timestamp,station_complex_id,station_complex,borough,routes,payment_method,ridership,transfers,latitude,longitude,georeference
970,2023-01-12T00:00:00.000,H007,1 Av (L),M,L,all,138.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
971,2023-01-01T20:00:00.000,R252,103 St (6),M,6,all,77.0,0.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
972,2023-01-13T18:00:00.000,R170,103 St (1),M,1,all,636.0,6.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
973,2023-01-31T09:00:00.000,R170,103 St (1),M,1,all,721.0,6.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
974,2023-01-07T03:00:00.000,H007,1 Av (L),M,L,all,83.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
975,2023-01-24T18:00:00.000,R170,103 St (1),M,1,all,617.0,6.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
976,2023-01-07T18:00:00.000,R252,103 St (6),M,6,all,236.0,2.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
977,2023-01-09T06:00:00.000,H007,1 Av (L),M,L,all,285.0,4.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
978,2023-01-29T10:00:00.000,R170,103 St (1),M,1,all,352.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
979,2023-01-22T00:00:00.000,H007,1 Av (L),M,L,all,1.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
980,2023-01-22T08:00:00.000,R170,103 St (1),M,1,all,188.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
